,0,1,2,3,4,y,m
28,6,пруд Новый Байкал с. Новая Вязовка ,Самарская область,Ионы марганца,61.0,2010,04
30,8,"р. Айва, 18,6 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,59.0,2010,04
31,9,"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,61.0,2010,04
32,10,"р. Аргунь,  | пос. Молоканка",Забайкальский край,Ионы марганца,126.0,2010,04
33,11,"р. Аргунь, протока Прорва,  | пос. Молоканка",Забайкальский край,Азот нитритов,51.0,2010,04
36,12,"р. Аргунь, с. Олочи",Забайкальский край,Ионы марганца,76.0,2010,04
37,13,"р. Аргунь, с. Кути",Забайкальский край,Ионы марганца,129.0,2010,04
38,14,"р. Березовая,  | с. Федоровка",Хабаровский край,Азот аммонийный,61.0,2010,04
40,15,"р. Быстрый Танып,  | г. Чернушка",Пермский край,Взвешенные вещества,89.0,2010,04
41,16,"р. Вагай, с. Вагай",Тюменская область,Ионы марганца,171.0,2010,04
42,17,р. Вильва в районе автодорожного моста на трассе Чусовой-Губаха,Пермский край,Ионы железа общего,54.0,2010,04
44,19,"р. Ельцовка-1,  | г. Новосибирск",Новосибирская область,Ионы марганца,84.0,2010,04
45,20,"р. Иж, г. Ижевск",Удмуртская Республика,Взвешенные вещества,57.0,2010,04
46,21,"р. Ирбит, г. Ирбит",Свердловская область,Взвешенные вещества,217.0,2010,04
47,22,"р. Иртыш, г. Омск",Омская область,Ионы марганца,55.0,2010,04
48,23,"р. Исеть, 522,3 км выше устья, | п. Двуреченск",Свердловская область,Взвешенные вещества,148.0,2010,04
49,24,"р. Исеть, 523.8 км выше устья,  | п. Двуреченск",Свердловская область,Взвешенные вещества,161.0,2010,04
50,25,"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,85.0,2010,04
51,26,"р. Исеть,  | г. Каменск-Уральский",Свердловская область,Взвешенные вещества,404.0,2010,04
52,27,"р. Исеть,  | д. Колюткино",Свердловская область,Взвешенные вещества,158.0,2010,04
53,28,"р. Иска,  | с. Велижаны",Тюменская область,Ионы марганца,276.0,2010,04
54,29,"р. Кама,  | г. Соликамск",Пермский край,Взвешенные вещества,75.0,2010,04
55,30,"р. Кизел, г. Кизел в районе автодо-рожного моста Губаха-Александровск",Пермский край,Ионы железа общего,525.0,2010,04
58,32,"р. Косьва, г. Губаха",Пермский край,Взвешенные вещества,54.0,2010,04
59,33,"р. Кунара,  | г. Богданович",Свердловская область,Взвешенные вещества,67.0,2010,04
60,34,"р. Лоза, с. Игра",Удмуртская Республика,Взвешенные вещества,270.0,2010,04
62,36,"р. Надым, г. Надым",Тюменская область,Ионы железа общего,59.0,2010,04
63,37,"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,120.0,2010,04
64,38,"р. Ница, г. Ирбит",Свердловская область,Взвешенные вещества,76.0,2010,04
65,39,"р. Ница,  | с. Красносло-бодское",Свердловская область,Взвешенные вещества,67.0,2010,04
70,44,"р. Печенга,  | п. Корзуново",Мурманская область,Дитиофосфат крезиловый,60.0,2010,04
71,45,"р. Пур, п. Уренгой",Тюменская область,Ионы железа общего,87.0,2010,04
72,46,"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,85.0,2010,04
73,47,"р. Пышма,  | г. Камышлов",Свердловская область,Взвешенные вещества,121.0,2010,04
75,49,"р. Пяку-Пур,  | п. Тарко-Сале",Тюменская область,Ионы железа общего,54.0,2010,04
76,50,"р. Салда,  | д. Прокопьевская Салда",Свердловская область,Ионы марганца,150.0,2010,04
77,51,"р. Сев. Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,205.0,2010,04
80,54,"р. Сундовик,  | д. Семово",Нижегородская область,Взвешенные вещества,57.0,2010,04
82,56,"р. Тавда,  | рп. Нижняя Тавда",Тюменская область,Ионы марганца,134.0,2010,04
83,57,"р. Тагил,  | г. Нижний Тагил",Свердловская область,Ионы марганца,71.0,2010,04
84,58,"р. Теча,  | с. Першинское",Курганская область,Взвешенные вещества,95.0,2010,04
86,60,"р. Тобол,  | г. Тобольск",Тюменская область,Ионы марганца,59.0,2010,04
87,61,"р. Тобол,  | с. Белозерское",Курганская область,Ионы марганца,99.0,2010,04
